time,P_l
2016-06-10 16:50:00+00:00,26441.63
2016-06-10 16:55:00+0000,26039.196
2016-06-10 17:00:00+0000,21790.632
2016-06-10 17:05:00+0000,22824.29
2016-06-10 17:10:00+0000,23408.187
2016-06-10 17:15:00+0000,25872.854
2016-06-10 17:20:00+0000,21775.6
2016-06-10 17:25:00+0000,26086.17
2016-06-10 17:30:00+0000,29901.64
2016-06-10 17:35:00+0000,26451.725
2016-06-10 17:40:00+0000,25461.28
2016-06-10 17:45:00+0000,24786.81
2016-06-10 17:50:00+0000,24481.006
2016-06-10 17:55:00+0000,21281.658
2016-06-10 18:00:00+0000,26191.95
2016-06-10 18:05:00+0000,24691.932
2016-06-10 18:10:00+0000,28255.074
2016-06-10 18:15:00+0000,28637.165
2016-06-10 18:20:00+0000,30086.941
2016-06-10 18:25:00+0000,28988.274
2016-06-10 18:30:00+0000,25632.961
2016-06-10 18:35:00+0000,26967.925
2016-06-10 18:40:00+0000,29563.476
2016-06-10 18:45:00+0000,27649.259
2016-06-10 18:50:00+0000,26966.075
2016-06-10 18:55:00+0000,26020.486
2016-06-10 19:00:00+0000,23583.817
2016-06-10 19:05:00+0000,27083.06
2016-06-10 19:10:00+0000,32129.85
2016-06-10 19:15:00+0000,30230.74
2016-06-10 19:20:00+0000,30318.58
2016-06-10 19:25:00+0000,32522.4
2016-06-10 19:30:00+0000,31119.77
2016-06-10 19:35:00+0000,28648.62
2016-06-10 19:40:00+0000,27612.91
2016-06-10 19:45:00+0000,25395.95
2016-06-10 19:50:00+0000,22740.95
2016-06-10 19:55:00+0000,23782.35
2016-06-10 20:00:00+0000,23365.32
2016-06-10 20:05:00+0000,25127.17
2016-06-10 20:10:00+0000,25825.53
2016-06-10 20:15:00+0000,26841.27
2016-06-10 20:20:00+0000,26963.98
2016-06-10 20:25:00+0000,29527.19
2016-06-10 20:30:00+0000,27677.182
2016-06-10 20:35:00+0000,28645.429
2016-06-10 20:40:00+0000,33813.907
2016-06-10 20:45:00+0000,34647.562
2016-06-10 20:50:00+0000,32952.792
2016-06-10 20:55:00+0000,36328.152
2016-06-10 21:00:00+0000,32236.7
2016-06-10 21:05:00+0000,32546.0
2016-06-10 21:10:00+0000,34693.8
2016-06-10 21:15:00+0000,34747.0
2016-06-10 21:20:00+0000,35115.3
2016-06-10 21:25:00+0000,33400.2
