time,P_pv,P_fu,P_fs,P_tu,P_ts,P_l
2016-06-10 16:50:00+00:00,20832.8,1274.67,7460.0,3125.84,0.0,26441.63
2016-06-10 16:55:00+0000,21650.2,948.776,5890.0,2449.78,0.0,26039.196
2016-06-10 17:00:00+0000,16588.1,816.272,5870.0,1483.74,0.0,21790.632
2016-06-10 17:05:00+0000,21694.7,2017.42,1160.0,2047.83,0.0,22824.29
2016-06-10 17:10:00+0000,14891.5,474.744,8410.0,368.057,0.0,23408.187
2016-06-10 17:15:00+0000,15866.8,781.368,10090.0,865.314,0.0,25872.854
2016-06-10 17:20:00+0000,28513.6,1157.6,0.0,1205.6,6690.0,21775.6
2016-06-10 17:25:00+0000,28791.0,1631.52,0.0,1126.35,3210.0,26086.17
2016-06-10 17:30:00+0000,21454.8,1314.27,7930.0,797.43,0.0,29901.64
2016-06-10 17:35:00+0000,14725.7,886.844,11750.0,910.819,0.0,26451.725
2016-06-10 17:40:00+0000,24540.6,1395.87,860.0,1335.19,0.0,25461.28
2016-06-10 17:45:00+0000,17373.5,1756.02,6690.0,1032.71,0.0,24786.81
2016-06-10 17:50:00+0000,18532.8,700.63,6090.0,842.424,0.0,24481.006
2016-06-10 17:55:00+0000,22061.8,810.493,0.0,300.635,1290.0,21281.658
2016-06-10 18:00:00+0000,16704.5,618.619,9280.0,411.169,0.0,26191.95
2016-06-10 18:05:00+0000,21270.7,617.668,3190.0,386.436,0.0,24691.932
2016-06-10 18:10:00+0000,21208.7,644.887,6720.0,318.513,0.0,28255.074
2016-06-10 18:15:00+0000,21050.2,239.287,7540.0,192.322,0.0,28637.165
2016-06-10 18:20:00+0000,18364.2,1110.1,10900.0,287.359,0.0,30086.941
2016-06-10 18:25:00+0000,16569.6,593.145,12160.0,334.471,0.0,28988.274
2016-06-10 18:30:00+0000,15994.9,432.567,9470.0,264.506,0.0,25632.961
2016-06-10 18:35:00+0000,14788.6,571.488,11840.0,232.163,0.0,26967.925
2016-06-10 18:40:00+0000,14568.9,1526.85,13620.0,152.274,0.0,29563.476
2016-06-10 18:45:00+0000,13502.6,813.536,13430.0,96.8774,0.0,27649.259
2016-06-10 18:50:00+0000,12247.2,1343.78,13490.0,114.905,0.0,26966.075
2016-06-10 18:55:00+0000,10899.0,1556.46,13650.0,84.9738,0.0,26020.486
2016-06-10 19:00:00+0000,10076.9,1038.84,12630.0,161.923,0.0,23583.817
2016-06-10 19:05:00+0000,10439.9,2943.65,13730.0,30.4899,0.0,27083.06
2016-06-10 19:10:00+0000,9909.51,8530.34,13690.0,0.0,0.0,32129.85
2016-06-10 19:15:00+0000,8521.34,21709.4,0.0,0.0,0.0,30230.74
2016-06-10 19:20:00+0000,7220.98,23117.6,0.0,0.0,20.0,30318.58
2016-06-10 19:25:00+0000,6800.4,25712.0,10.0,0.0,0.0,32522.4
2016-06-10 19:30:00+0000,6805.47,24334.3,0.0,0.0,20.0,31119.77
2016-06-10 19:35:00+0000,6807.82,21850.8,0.0,0.0,10.0,28648.62
2016-06-10 19:40:00+0000,5745.31,21877.6,0.0,0.0,10.0,27612.91
2016-06-10 19:45:00+0000,5644.95,19771.0,0.0,0.0,20.0,25395.95
2016-06-10 19:50:00+0000,5207.85,17543.1,0.0,0.0,10.0,22740.95
2016-06-10 19:55:00+0000,5036.45,18765.9,0.0,0.0,20.0,23782.35
2016-06-10 20:00:00+0000,4386.92,18998.4,0.0,0.0,20.0,23365.32
2016-06-10 20:05:00+0000,3705.77,21441.4,0.0,0.0,20.0,25127.17
2016-06-10 20:10:00+0000,2735.53,23110.0,0.0,0.0,20.0,25825.53
2016-06-10 20:15:00+0000,2024.87,24836.4,0.0,0.0,20.0,26841.27
2016-06-10 20:20:00+0000,1601.08,25382.9,0.0,0.0,20.0,26963.98
2016-06-10 20:25:00+0000,1282.79,28264.4,0.0,0.0,20.0,29527.19
2016-06-10 20:30:00+0000,989.582,26707.6,0.0,0.0,20.0,27677.182
2016-06-10 20:35:00+0000,745.829,27919.6,0.0,0.0,20.0,28645.429
2016-06-10 20:40:00+0000,515.207,33318.7,0.0,0.0,20.0,33813.907
2016-06-10 20:45:00+0000,335.562,34332.0,0.0,0.0,20.0,34647.562
2016-06-10 20:50:00+0000,178.192,32794.6,0.0,0.0,20.0,32952.792
2016-06-10 20:55:00+0000,28.1519,36310.0,0.0,0.0,10.0,36328.152
